date,AAPL,MSTR,TSLA,MSFT,AMZN
2016-08-22,27.127500534057617,166.8800048828125,44.58599853515625,57.66999816894531,759.47998046875
2016-08-23,27.212499618530273,168.4199981689453,44.96799850463867,57.88999938964844,762.4500122070312
2016-08-24,27.00749969482422,166.77999877929688,44.52399826049805,57.95000076293945,757.25
2016-08-25,26.892499923706055,168.32000732421875,44.19200134277344,58.16999816894531,759.219970703125
2016-08-26,26.735000610351562,167.47000122070312,43.99800109863281,58.029998779296875,769.0
2016-08-29,26.704999923706055,166.0,43.040000915527344,58.099998474121094,771.2899780273438
2016-08-30,26.5,166.9600067138672,42.268001556396484,57.88999938964844,767.5800170898438
2016-08-31,26.524999618530273,166.7899932861328,42.402000427246094,57.459999084472656,769.1599731445312
2016-09-01,26.6825008392334,167.32000732421875,40.15399932861328,57.59000015258789,770.6199951171875
2016-09-02,26.9325008392334,169.77999877929688,39.555999755859375,57.66999816894531,772.4400024414062
2016-09-06,26.924999237060547,170.6300048828125,40.566001892089844,57.61000061035156,788.8699951171875
2016-09-07,27.09000015258789,171.7100067138672,40.34199905395508,57.65999984741211,784.47998046875
2016-09-08,26.3799991607666,172.64999389648438,39.47200012207031,57.43000030517578,784.0599975585938
2016-09-09,25.782499313354492,170.6999969482422,38.89400100708008,56.209999084472656,760.1400146484375
2016-09-12,26.360000610351562,172.4499969482422,39.65999984741211,57.04999923706055,771.489990234375
2016-09-13,26.987499237060547,169.92999267578125,39.209999084472656,56.529998779296875,761.010009765625
2016-09-14,27.9424991607666,168.38999938964844,39.28200149536133,56.2599983215332,761.0900268554688
2016-09-15,28.892499923706055,167.6199951171875,40.08399963378906,57.189998626708984,769.6900024414062
2016-09-16,28.729999542236328,164.83999633789062,41.08000183105469,57.25,778.52001953125
2016-09-19,28.395000457763672,164.25,41.268001556396484,56.93000030517578,775.0999755859375
2016-09-20,28.392499923706055,166.5500030517578,40.928001403808594,56.810001373291016,780.219970703125
2016-09-21,28.387500762939453,167.6300048828125,41.04399871826172,57.7599983215332,789.739990234375
2016-09-22,28.655000686645508,170.3000030517578,41.2859992980957,57.81999969482422,804.7000122070312
2016-09-23,28.177499771118164,171.77999877929688,41.4900016784668,57.43000030517578,805.75
2016-09-26,28.219999313354492,170.8699951171875,41.79800033569336,56.900001525878906,799.1599731445312
2016-09-27,28.272499084472656,169.05999755859375,41.1619987487793,57.95000076293945,816.1099853515625
2016-09-28,28.487499237060547,170.25,41.25400161743164,58.029998779296875,828.719970703125
2016-09-29,28.045000076293945,165.74000549316406,40.13999938964844,57.400001525878906,829.0499877929688
2016-09-30,28.262500762939453,167.44000244140625,40.805999755859375,57.599998474121094,837.3099975585938
2016-10-03,28.1299991607666,163.83999633789062,42.7400016784668,57.41999816894531,836.739990234375
2016-10-04,28.25,170.5,42.28200149536133,57.2400016784668,834.030029296875
2016-10-05,28.262500762939453,171.00999450683594,41.69200134277344,57.63999938964844,844.3599853515625
2016-10-06,28.47249984741211,172.77000427246094,40.20000076293945,57.7400016784668,841.6599731445312
2016-10-07,28.514999389648438,172.97999572753906,39.321998596191406,57.79999923706055,839.4299926757812
2016-10-10,29.012500762939453,174.69000244140625,40.189998626708984,58.040000915527344,841.7100219726562
2016-10-11,29.075000762939453,173.05999755859375,40.02000045776367,57.189998626708984,831.0
2016-10-12,29.334999084472656,173.16000366210938,40.301998138427734,57.11000061035156,834.0900268554688
2016-10-13,29.2450008392334,172.3699951171875,40.04800033569336,56.91999816894531,829.280029296875
2016-10-14,29.407499313354492,172.1999969482422,39.301998138427734,57.41999816894531,822.9600219726562
2016-10-17,29.387500762939453,171.85000610351562,38.79199981689453,57.220001220703125,812.9500122070312
2016-10-18,29.36750030517578,172.5800018310547,39.81999969482422,57.65999984741211,817.6500244140625
2016-10-19,29.280000686645508,170.13999938964844,40.71200180053711,57.529998779296875,817.6900024414062
2016-10-20,29.264999389648438,168.44000244140625,39.81999969482422,57.25,810.3200073242188
2016-10-21,29.149999618530273,168.61000061035156,40.018001556396484,59.65999984741211,818.989990234375
2016-10-24,29.412500381469727,174.0399932861328,40.551998138427734,61.0,838.0900268554688
2016-10-25,29.5625,172.2899932861328,40.46799850463867,60.9900016784668,835.1799926757812
2016-10-26,28.897499084472656,171.8000030517578,40.448001861572266,60.630001068115234,822.5900268554688
2016-10-27,28.6200008392334,173.52999877929688,40.801998138427734,60.099998474121094,818.3599853515625
2016-10-28,28.43000030517578,191.47000122070312,39.99399948120117,59.869998931884766,776.3200073242188
2016-10-31,28.385000228881836,194.80999755859375,39.54600143432617,59.91999816894531,789.8200073242188
2016-11-01,27.872499465942383,195.0399932861328,38.15800094604492,59.79999923706055,785.4099731445312
2016-11-02,27.897499084472656,191.8699951171875,37.604000091552734,59.43000030517578,765.5599975585938
2016-11-03,27.457500457763672,188.9600067138672,37.48400115966797,59.209999084472656,767.030029296875
2016-11-04,27.209999084472656,190.16000366210938,38.11199951171875,58.709999084472656,755.0499877929688
2016-11-07,27.602500915527344,192.30999755859375,38.641998291015625,60.41999816894531,784.9299926757812
2016-11-08,27.764999389648438,190.0,38.987998962402344,60.470001220703125,787.75
2016-11-09,27.719999313354492,191.8800048828125,38.012001037597656,60.16999816894531,771.8800048828125
2016-11-10,26.947500228881836,193.16000366210938,37.06999969482422,58.70000076293945,742.3800048828125
2016-11-11,27.107500076293945,196.75,37.71200180053711,59.02000045776367,739.010009765625
2016-11-14,26.427499771118164,192.11000061035156,36.290000915527344,58.119998931884766,719.0700073242188
